28-05-2026,TikTok,60
28-05-2026,Facebook,30
28-05-2026,YouTube,200
27-05-2026,Instagram,50
26-05-2026,Facebook,40
26-05-2026,YouTube,150
25-05-2026,TikTok,30
24-05-2026,Chrome,100
23-05-2026,Facebook,80
22-05-2026,YouTube,96
21-05-2026,TikTok,102
20-05-2026,Chrome,108
19-05-2026,Facebook,114
18-05-2026,YouTube,120
17-05-2026,TikTok,126
16-05-2026,Chrome,132
15-05-2026,Facebook,138
14-05-2026,YouTube,144
13-05-2026,TikTok,150
12-05-2026,Chrome,156
11-05-2026,Facebook,162
10-05-2026,YouTube,168
09-05-2026,TikTok,174
08-05-2026,Chrome,180
07-05-2026,Facebook,186
03-06-2026,Instagram,10
